訂單編號,日期,星期,分店,品項,類別,數量,單價,金額
T1019,2026-07-01,星期三,中壢店,卡布奇諾,咖啡,3,95,285
T1020,2026-07-01,星期三,中壢店,紅茶,茶飲,2,50,100
T1021,2026-07-01,星期三,中壢店,拿鐵,咖啡,3,90,270
T1022,2026-07-01,星期三,中壢店,拿鐵,咖啡,2,90,180
T1023,2026-07-01,星期三,中壢店,拿鐵,咖啡,2,90,180
T1024,2026-07-01,星期三,中壢店,起司蛋糕,烘焙,2,120,240
T1025,2026-07-01,星期三,中壢店,卡布奇諾,咖啡,1,95,95
T1026,2026-07-01,星期三,中壢店,拿鐵,咖啡,2,90,180
T1001,2026-07-01,星期三,信義店,拿鐵,咖啡,2,90,180
T1002,2026-07-01,星期三,信義店,紅茶,茶飲,1,50,50
T1003,2026-07-01,星期三,信義店,起司蛋糕,烘焙,2,120,240
T1004,2026-07-01,星期三,信義店,抹茶拿鐵,茶飲,2,100,200
T1005,2026-07-01,星期三,信義店,可頌,烘焙,2,60,120
T1006,2026-07-01,星期三,信義店,起司蛋糕,烘焙,2,120,240
T1007,2026-07-01,星期三,信義店,可頌,烘焙,2,60,120
T1008,2026-07-01,星期三,信義店,卡布奇諾,咖啡,1,95,95
T1009,2026-07-01,星期三,板橋店,美式咖啡,咖啡,1,70,70
T1010,2026-07-01,星期三,板橋店,可頌,烘焙,2,60,120
T1011,2026-07-01,星期三,板橋店,美式咖啡,咖啡,3,70,210
T1011,2026-07-01,星期三,板橋店,美式咖啡,咖啡,3,70,210
T1012,2026-07-01,星期三,板橋店,卡布奇諾,咖啡,1,95,95
T1013,2026-07-01,星期三,板橋店,拿鐵,咖啡,1,90,90
T1014,2026-07-01,星期三,板橋店,拿鐵,咖啡,1,90,90
T1015,2026-07-01,星期三,板橋店,可頌,烘焙,3,60,180
T1016,2026-07-01,星期三,板橋店,卡布奇諾,咖啡,1,95,95
T1017,2026-07-01,星期三,板橋店,紅茶,茶飲,1,50,50
T1018,2026-07-01,星期三,板橋店,抹茶拿鐵,茶飲,1,100,100
T1047,2026-07-02,星期四,中壢店,美式咖啡,咖啡,2,70,140
T1048,2026-07-02,星期四,中壢店,肉桂捲,烘焙,2,85,170
T1049,2026-07-02,星期四,中壢店,肉桂捲,烘焙,1,85,85
T1050,2026-07-02,星期四,中壢店,肉桂捲,烘焙,1,85,85
T1051,2026-07-02,星期四,中壢店,紅茶,茶飲,2,50,100
T1051,2026-07-02,星期四,中壢店,紅茶,茶飲,2,50,100
T1052,2026-07-02,星期四,中壢店,卡布奇諾,咖啡,2,95,190
T1027,2026-07-02,星期四,信義店,拿鐵,咖啡,2,90,180
T1028,2026-07-02,星期四,信義店,拿鐵,咖啡,2,90,180
T1029,2026-07-02,星期四,信義店,抹茶拿鐵,茶飲,2,100,200
T1030,2026-07-02,星期四,信義店,卡布奇諾,咖啡,1,95,95
T1031,2026-07-02,星期四,信義店,抹茶拿鐵,茶飲,1,100,100
T1032,2026-07-02,星期四,信義店,可頌,烘焙,3,60,180
T1033,2026-07-02,星期四,信義店,卡布奇諾,咖啡,3,95,285
T1034,2026-07-02,星期四,信義店,美式咖啡,咖啡,2,70,140
T1035,2026-07-02,星期四,信義店,拿鐵,咖啡,1,90,90
T1036,2026-07-02,星期四,信義店,卡布奇諾,咖啡,1,95,95
T1037,2026-07-02,星期四,信義店,起司蛋糕,烘焙,1,120,120
T1038,2026-07-02,星期四,板橋店,紅茶,茶飲,3,50,150
T1039,2026-07-02,星期四,板橋店,肉桂捲,烘焙,2,85,170
T1040,2026-07-02,星期四,板橋店,拿鐵,咖啡,2,90,180
T1041,2026-07-02,星期四,板橋店,紅茶,茶飲,1,50,50
T1042,2026-07-02,星期四,板橋店,抹茶拿鐵,茶飲,3,100,300
T1043,2026-07-02,星期四,板橋店,卡布奇諾,咖啡,2,95,190
T1044,2026-07-02,星期四,板橋店,可頌,烘焙,2,60,120
T1045,2026-07-02,星期四,板橋店,拿鐵,咖啡,1,90,90
T1046,2026-07-02,星期四,板橋店,起司蛋糕,烘焙,1,120,120
T1071,2026-07-03,星期五,中壢店,美式咖啡,咖啡,1,70,70
T1072,2026-07-03,星期五,中壢店,紅茶,茶飲,2,50,100
T1073,2026-07-03,星期五,中壢店,可頌,烘焙,2,60,120
T1074,2026-07-03,星期五,中壢店,紅茶,茶飲,1,50,50
T1075,2026-07-03,星期五,中壢店,抹茶拿鐵,茶飲,2,100,200
T1076,2026-07-03,星期五,中壢店,抹茶拿鐵,茶飲,2,100,200
T1077,2026-07-03,星期五,中壢店,起司蛋糕,烘焙,2,120,240
T1078,2026-07-03,星期五,中壢店,拿鐵,咖啡,2,90,180
T1053,2026-07-03,星期五,信義店,抹茶拿鐵,茶飲,1,100,100
T1054,2026-07-03,星期五,信義店,起司蛋糕,烘焙,1,120,120
T1055,2026-07-03,星期五,信義店,卡布奇諾,咖啡,1,95,95
T1056,2026-07-03,星期五,信義店,拿鐵,咖啡,3,90,270
T1057,2026-07-03,星期五,信義店,可頌,烘焙,2,60,120
T1058,2026-07-03,星期五,信義店,拿鐵,咖啡,1,90,90
T1059,2026-07-03,星期五,信義店,肉桂捲,烘焙,3,85,255
T1060,2026-07-03,星期五,信義店,卡布奇諾,咖啡,1,95,95
T1061,2026-07-03,星期五,信義店,紅茶,茶飲,2,50,100
T1062,2026-07-03,星期五,信義店,拿鐵,咖啡,1,90,90
T1063,2026-07-03,星期五,信義店,紅茶,茶飲,2,50,100
T1064,2026-07-03,星期五,板橋店,卡布奇諾,咖啡,1,95,95
T1065,2026-07-03,星期五,板橋店,美式咖啡,咖啡,2,70,140
T1066,2026-07-03,星期五,板橋店,抹茶拿鐵,茶飲,1,100,100
T1067,2026-07-03,星期五,板橋店,抹茶拿鐵,茶飲,1,100,100
T1068,2026-07-03,星期五,板橋店,拿鐵,咖啡,2,90,180
T1069,2026-07-03,星期五,板橋店,美式咖啡,咖啡,2,70,140
T1070,2026-07-03,星期五,板橋店,肉桂捲,烘焙,3,85,255
T1103,2026-07-04,星期六,中壢店,紅茶,茶飲,1,50,50
T1104,2026-07-04,星期六,中壢店,可頌,烘焙,2,60,120
T1105,2026-07-04,星期六,中壢店,起司蛋糕,烘焙,1,120,120
T1106,2026-07-04,星期六,中壢店,美式咖啡,咖啡,1,70,70
T1107,2026-07-04,星期六,中壢店,拿鐵,咖啡,2,90,180
T1108,2026-07-04,星期六,中壢店,卡布奇諾,咖啡,1,95,95
T1109,2026-07-04,星期六,中壢店,拿鐵,咖啡,1,90,90
T1110,2026-07-04,星期六,中壢店,拿鐵,咖啡,1,90,90
